Model,RMSE,MAE,R2
ExtraTrees,3.8839854421617113,1.3930252849999993,0.9557583076026307
RF,5.0106924080236945,1.824177164999999,0.9263670785269931
GBM,5.820943366777354,2.757593677242401,0.9006281688066842
MLP,6.04470957204108,2.841199802156766,0.8928413031264816
KNN,6.059364546742175,2.205419,0.8923210757623709
DT,8.486572921005864,2.8206424999999995,0.7887769839916479
LinearReg,14.146010692956564,8.835466887790142,0.4131264871818007
Ridge,14.147643538619725,8.831510726390865,0.41299099609574874
Lasso,14.49369361451237,8.251116079435016,0.3839234223156417
SVM,14.64327435427159,4.666181562588601,0.37114148809360936
